-7672,4168,12724,-5033,32767,28874
-4300,5084,-936,29634,20962,-32768
-32768,-16572,-10684,-3182,-21152,2484
23228,-3652,9080,-12005,2837,32767
26840,5776,-2228,17624,13510,-32768
-32768,-21600,-2668,14259,-5250,-18072
-25544,-14428,9732,-12336,-23374,32767
32767,11916,1644,-1565,14028,-1007
-32768,-20048,-2420,11668,20623,-32768
-32768,-5080,5832,-15771,-32669,32767
32767,476,-29024,8898,-17196,9821
-20620,8,21636,-12449,32767,-32768
-32768,-5156,-9796,-11409,-20059,32767
32767,13048,3928,8084,-4564,19928
-32768,-14252,-4068,13040,10319,-32768
-22252,908,17000,-23823,-12464,32767
27100,10752,-4244,3247,5183,-8655
-12936,-14728,476,19750,6428,-32768
-32768,-9604,-6748,-8576,5543,-796
23260,2664,7592,7054,-9248,32767
22456,11616,8392,4722,17736,-1621
-14552,9116,3364,5521,9650,-23353
-32768,-908,-6384,-13242,-32768,32767
32767,6124,11044,-8797,32767,-25319
-32768,-9124,-9512,15966,17032,-32768
-13092,-1732,7872,-14707,-32768,32767
30400,9980,-3128,-151,9413,-14039
-32768,-3516,-128,1649,22063,-32768
-12604,4108,12720,-13354,-3077,30315
21648,4588,2860,-250,4724,-32768
-32768,-11824,3944,-1767,860,-18661
-1896,-144,17660,-414,-9416,32767
31884,7976,-4772,-5871,4519,-20879
-32768,-5732,13168,-4467,5714,-30947
-5048,-104,16308,5786,-11082,32767
30492,3904,-6660,-8114,21448,-28454
-27704,-6700,11760,-6245,12588,-32768
-20976,-2040,11092,-9292,-14256,32767
32767,6832,-1896,2860,3134,-15517
-32768,-5024,13132,-3333,-2574,-31253
-8320,-3460,17568,317,-7540,32767
26316,-2380,-7884,-13872,6663,-32768
-32768,1828,30940,3413,82,14814
18664,10084,3712,3272,-2678,3822
-13572,6792,11200,-2806,-2712,-5445
-3576,8268,15932,-1786,-251,2335
-7040,7300,11592,788,-247,-1778
-5548,8016,12716,-882,-283,-2145
-740,3024,11316,-11337,-12106,-32768
-7880,76,12584,-2198,-11950,-9629
-3248,-2316,13240,-2921,2459,357
-6660,-2908,13120,5190,-7462,4329
-5904,-132,15528,7568,-6757,8326
-1980,2904,17472,3502,-3274,5548
-848,3728,15684,-1284,0,2547
-844,3800,15752,-1475,379,453
-1228,3700,14636,1,-3748,-2494
-788,3084,16632,-2431,-535,-3105
-2492,1876,15612,-3809,-138,-1196
-1632,2240,15468,-1701,982,-2061
100,1176,16336,-15845,3741,-2095
-1276,-712,14896,4219,-3755,3430
2024,2512,19036,-2568,-11578,4966
3036,3068,15504,740,360,-472
2924,-472,16572,-454,267,-302
2600,-172,17044,-285,2571,-153
